Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Atonement,Ian McEwan,"",9780385721790,paperback,read,2023/10/13,2024/10/25,2024/10/25,1,"",,,,,,,5.0,,"",,"",No
"Peaceful Parent, Happy Kids: How to Stop Yelling and Start Connecting",Laura Markham,"",9780399160288,paperback,to-read,2024/02/27,"","",0,"",,,,,,,,,"",,"",No
Double Indemnity,James M. Cain,"",9780679723226,paperback,to-read,2025/07/28,"","",0,"",,,,,,,,,"",,"",No
You Deserve Each Other,Sarah Hogle,"",9780593085424,paperback,read,2021/05/01,2021/05/01,2021/05/01,1,"",,,,,,,4.0,,"",,"",No
The Two Gentlemen of Verona,William Shakespeare,"Barbara A. Mowat, Paul Werstine",9780671722951,paperback,read,2019/12/15,2020/01/28,2020/01/28,1,"",,,,,,,3.0,,"",,"",No
Excalibur,Bernard Cornwell,Alves Calado (Translator),9788501061157,paperback,read,2019/08/31,2020/03/15,2020/03/15,1,"",,,,,,,,,"",,"",No
The Return of the King,J.R.R. Tolkien,"",9780007488353,paperback,read,2015/10/08,"","",1,"",,,,,,,5.0,,"",,"",No
Those Who Leave and Those Who Stay,Elena Ferrante,"","",digital,read,2023/10/13,2024/05/18,2024/05/18,1,"",,,,,,,5.0,,"",,"",No
In Cold Blood,Truman Capote,"",9780679745587,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,"Brilliant, masterful.","",,"",No
Avilion,Robert Holdstock,"",9780575083028,paperback,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
The Lost World,Arthur Conan Doyle,"",9780812967258,paperback,read,2015/10/08,2016/04/07,2016/04/07,1,"",,,,,,,5.0,,"",,"",No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,read,2022/10/02,2022/10/02,2022/10/02,1,"",,,,,,,5.0,,"",,"",No
The Little Paris Bookshop,Nina George,"",9780553418774,hardcover,to-read,2016/06/14,"","",0,"",,,,,,,,,"",,"",No
The King of Bourbon Street,Thea de Salle,"",9781501156076,digital,to-read,2019/09/27,"","",0,"",,,,,,,3.0,,"",,"",No
American Short Story Masterpieces: A Rich Selection of Recent Fiction from America's Best Modern Writers,"","",9780440204237,paperback,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
The Divine Comedy,Dante Alighieri,Allen Mandelbaum (Translator),9780679433132,hardcover,to-read,2016/12/08,"","",0,"",,,,,,,,,"",,"",No
A History of the Bible: The Book and Its Faiths,John Barton,"",9780241003916,hardcover,read,2023/12/10,2024/10/02,2024/10/02,1,"",,,,,,,4.0,,"",,"",No
Bretonisches Leuchten,Jean-Luc Bannalec,"",9783462050561,paperback,to-read,2019/02/01,"","",0,"",,,,,,,,,"",,"",No
Monday or Tuesday: Eight Stories,Virginia Woolf,"",9780486294537,paperback,read,2020/06/18,2020/06/29,2020/06/29,1,"",,,,,,,4.0,,"",,"",No
The Big Clock,Kenneth Fearing,"",9781590171813,paperback,read,2025/04/10,2025/08/22,2025/08/22,1,"dark, mysterious",medium,A mix,No,No,No,Yes,3.5,"","","","",No
